t=2026-02-10T14:29:56+0900 lvl=info msg="no configuration paths supplied"
t=2026-02-10T14:29:56+0900 lvl=info msg="using configuration at default config path" path="/Users/juankim/Library/Application Support/ngrok/ngrok.yml"
t=2026-02-10T14:29:56+0900 lvl=info msg="open config file" path="/Users/juankim/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-02-10T14:29:56+0900 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-02-10T14:29:56+0900 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-10T14:29:57+0900 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-10T14:29:57+0900 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-10T14:29:57+0900 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3001 url=https://unexperienced-nancy-burdenedly.ngrok-free.dev
t=2026-02-10T14:32:57+0900 lvl=info msg="join connections" obj=join id=44ba9c904a15 l=[::1]:3001 r=163.152.83.200:60235
t=2026-02-10T14:32:58+0900 lvl=info msg="join connections" obj=join id=6905dee19a04 l=[::1]:3001 r=163.152.83.200:52016
t=2026-02-10T14:32:58+0900 lvl=info msg="join connections" obj=join id=89cf9419bbac l=[::1]:3001 r=163.152.83.200:52018
t=2026-02-10T14:32:59+0900 lvl=info msg="join connections" obj=join id=f4bef18fa8ee l=[::1]:3001 r=163.152.83.200:60235
t=2026-02-10T14:32:59+0900 lvl=info msg="join connections" obj=join id=a87171148679 l=[::1]:3001 r=163.152.83.200:52022
t=2026-02-10T14:32:59+0900 lvl=info msg="join connections" obj=join id=68233e13fd64 l=[::1]:3001 r=163.152.83.200:52024
t=2026-02-10T14:32:59+0900 lvl=info msg="join connections" obj=join id=5db4e1ccb38b l=[::1]:3001 r=163.152.83.200:60235
t=2026-02-10T14:32:59+0900 lvl=info msg="join connections" obj=join id=206f6623a7dd l=[::1]:3001 r=163.152.83.200:52027
t=2026-02-10T14:33:00+0900 lvl=info msg="join connections" obj=join id=7409ae88b12c l=[::1]:3001 r=163.152.83.200:52029
t=2026-02-10T14:33:00+0900 lvl=info msg="join connections" obj=join id=34aeb6179ae2 l=[::1]:3001 r=163.152.83.200:60235
t=2026-02-10T14:33:00+0900 lvl=info msg="join connections" obj=join id=b09578f58274 l=[::1]:3001 r=163.152.83.200:52032
t=2026-02-10T14:33:00+0900 lvl=info msg="join connections" obj=join id=4aa752280e2f l=[::1]:3001 r=163.152.83.200:52034
t=2026-02-10T14:33:00+0900 lvl=info msg="join connections" obj=join id=743f738f2a9a l=[::1]:3001 r=163.152.83.200:60235
t=2026-02-10T14:33:00+0900 lvl=info msg="join connections" obj=join id=9e3fa33e1d5c l=[::1]:3001 r=163.152.83.200:52039
t=2026-02-10T14:33:01+0900 lvl=info msg="join connections" obj=join id=2d505224107b l=[::1]:3001 r=163.152.83.200:52041
t=2026-02-10T14:33:01+0900 lvl=info msg="join connections" obj=join id=124784e9d22c l=[::1]:3001 r=163.152.83.200:60235
